OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
1,324938,1,LREW01,GA277,100,1,A,2290,0.5,0.5,S,2290,1.48,0.04,507.6,0.435034803,3,1.5,95.5,2,0.37,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0
2,324939,1,LREW02,GA277,100,2,A,2160,0.5,0.5,S-S,1520,1.5,0.07,331.2,0.435034803,5,1.4,93.6,6,0.3,0.1,0,2160,1.55,0.05,331.2,0.145011601,3.5,1.5,95,6,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5.3,0,0,0,0,0,0,0,0
3,325587,1,LREW03,GA631,100,3,B,1520,0.5,0.5,LS-SCL-SCL,360,1.45,0.08,100.8,0.145011601,10,4.3,85.7,5,0.3,0.15,0,1070,1.5,0.14,32.4,0.145011601,26.5,17.7,55.8,5,0.3,0.28,0,1520,1.58,0.1,9.72,0.145011601,29,17.1,53.9,5,0.3,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5.3,5.3,0,0,0,0,0,0,0
4,324933,1,LREW04,GA277,100,3,B,1930,0.5,0.5,SL-SC-C,180,1.55,0.13,100.8,0.435034803,14,19.2,66.8,7,0.3,0.28,0,380,1.6,0.15,32.4,0.145011601,35.5,12.2,52.3,7,0.3,0.32,0,1930,1.58,0.15,3.24,0.145011601,47.5,29.2,23.3,7,0.3,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,4.6,4.6,0,0,0,0,0,0,0
5,325593,1,LREW05,GA631,100,3,B,1650,0.5,0.5,LS-SL-SCL,660,1.65,0.07,331.2,0.725058005,6,9.1,84.9,5,0.3,0.15,0,790,1.5,0.14,32.4,0.145011601,18,18.9,63.1,10,0.3,0.2,0,1650,1.5,0.12,3.24,0.145011601,27.5,17.4,55.1,5,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5.3,5.3,0,0,0,0,0,0,0
6,325617,1,LREW06,GA631,100,4,B,1650,0.5,0.5,LS-SL-SCL-SCL,250,1.43,0.06,331.2,0.435034803,5.5,9.2,85.3,13,0.3,0.15,0,380,1.55,0.1,331.2,0.435034803,17.5,15.3,67.2,13,0.3,0.28,0,970,1.6,0.14,32.4,0.145011601,27.5,17.4,55.1,13,0.3,0.28,0,1650,1.68,0.12,9.72,0.145011601,32.5,14,53.5,10,0.3,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5.3,5.3,5,0,0,0,0,0,0
7,324928,1,LREW07,GA277,100,3,C,1650,0.5,0.5,LS-SCL-SCL,360,1.5,0.1,100.8,1.015081206,6,9.1,84.9,6,0.3,0.15,0,1020,1.5,0.13,32.4,0.145011601,26.5,17.7,55.8,6,0.3,0.2,0,1650,1.55,0.1,9.72,0.145011601,27.5,17.4,55.1,2,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5,5,0,0,0,0,0,0,0
8,325584,1,LREW08,GA631,100,3,C,1650,0.5,0.5,SL-SCL-SCL,100,1.48,0.11,100.8,1.160092807,12.5,19.6,67.9,5,0.3,0.24,0,790,1.4,0.13,28.8,0.145011601,32.5,14,53.5,5,0.3,0.28,0,1650,1.6,0.12,7.2,0.145011601,26.5,17.7,55.8,11,0.3,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0
9,325599,1,LREW09,GA631,95,3,C,1650,0.5,0.5,LS-SL-SCL,790,1.53,0.06,331.2,0.870069606,7.5,9,83.5,3,0.23,0.1,0,940,1.58,0.12,32.4,0.145011601,18,16.9,65.1,4,0.23,0.15,0,1650,1.6,0.1,9.72,0.145011601,22.5,17.9,59.6,4,0.23,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5,5,0,0,0,0,0,0,0
10,325576,1,LREW10,GA631,100,3,D,1780,0.5,0.5,LS-SCL-SCL,710,1.53,0.07,331.2,0.870069606,7,9.2,83.8,1,0.16,0.1,0,1170,1.6,0.12,32.4,0.145011601,22.5,17.9,59.6,2,0.16,0.24,0,1780,1.65,0.09,9.72,0.145011601,25,18,57,6,0.16,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0
